,conferencias,qualis_conferencias,periodicos,qualis_periodicos
1057,NA,,NA,
1058,NA,,NA,
1059,NA,,NA,
1060,NA,,NA,
1061,NA,,NA,
1062,NA,,NA,
1063,NA,,NA,
1064,NA,,NA,
1065,NA,,NA,
1066,NA,,NA,
1067,NA,,NA,
1068,NA,,NA,
1069,NA,,NA,
1070,NA,,NA,
1071,NA,,NA,
1072,NA,,NA,
1073,NA,,NA,
1074,NA,,NA,
1075,NA,,NA,
1076,NA,,NA,
1077,NA,,NA,
1078,NA,,NA,
1079,NA,,NA,
1080,NA,,NA,
1081,NA,,NA,
1082,NA,,NA,
1083,NA,,NA,
1084,NA,,NA,
1085,NA,,NA,
1086,NA,,NA,
1087,NA,,NA,
1088,NA,,NA,
1089,NA,,NA,
1090,NA,,NA,
1091,NA,,NA,
1092,NA,,NA,
1093,NA,,NA,
1094,NA,,NA,
1095,NA,,NA,
1096,NA,,NA,
1097,NA,,NA,
1098,NA,,NA,
1099,NA,,NA,
1100,NA,,NA,
1101,NA,,NA,
1102,NA,,NA,
1103,NA,,NA,
1104,NA,,NA,
1105,NA,,NA,
1106,NA,,NA,
1107,NA,,letronica,
1108,NA,,NA,
1109,NA,,NA,
1110,NA,,NA,
1111,NA,,NA,
1112,NA,,NA,
1113,NA,,NA,
1114,NA,,NA,
1115,NA,,NA,
1116,NA,,NA,
1117,NA,,NA,
1118,NA,,NA,
1119,NA,,NA,
1120,NA,,NA,
1121,NA,,NA,
1122,NA,,NA,
1123,NA,,letronica,
1124,NA,,letronica,
1125,NA,,letronica,
1126,NA,,NA,
1127,NA,,NA,
1128,NA,,NA,
1129,NA,,NA,
1130,NA,,NA,
1131,NA,,data,
1132,NA,,data,
1133,NA,,data,
1134,NA,,data,
1135,NA,,data,
1136,NA,,data,
1137,NA,,letronica,
1138,NA,,NA,
1139,NA,,top,
1140,NA,,NA,
1141,NA,,NA,
1142,NA,,NA,
1143,NA,,NA,
1144,NA,,NA,
1145,NA,,revista brasileira de biometria,
1146,NA,,international journal of agricultural and environmental information systems,
1147,NA,,international journal of agricultural and environmental information systems,
1148,NA,,revista brasileira de biometria,
1149,NA,,revista eletronica de iniciacao cientifica,
1150,NA,,journal of parallel and distributed computing,
1151,NA,,computer,
1152,NA,,design automation for embedded systems,
1153,NA,,"ieee transactions on circuits and systems. i, regular papers (print)",
1154,NA,,computer,
1155,NA,,computer,
1156,NA,,international journal of high performance systems architecture,
1157,NA,,NA,
1158,NA,,NA,
1159,NA,,NA,
1160,NA,,NA,
1161,simposio em sistemas computacionais de alto desempenho,,NA,
1162,simposio em sistemas computacionais de alto desempenho,,NA,
1163,international symposium on computer architecture,,computer,
1164,simposio em sistemas computacionais de alto desempenho,,NA,
1165,NA,,NA,
1166,international symposium on computer architecture,,computer,
1167,workshop on applications for multi-core architectures,,computer,
1168,ieee international system-on-chip conference,,NA,
1169,simposio em sistemas computacionais de alto desempenho,,NA,
1170,NA,,NA,
1171,ieee frontiers in education conference,,computer,
1172,ieee frontiers in education conference,,computer,
1173,simposio em sistemas computacionais de alto desempenho,,NA,
1174,NA,,NA,
1175,NA,,NA,
1176,NA,,NA,
1177,NA,,NA,
1178,NA,,computer,
1179,simposio brasileiro de pesquisa operacional,,NA,
1180,international conference on industry applications,,NA,
1181,brazilian symposium on programming languages,,NA,
1182,NA,,NA,
1183,NA,,NA,
1184,NA,,NA,
1185,brazilian symposium on programming languages,,NA,
